INSTRUMENT,REF_THEO,REF_UNDERLYING_PRICE,DELTA,GAMMA
E1AK2 P3440,0.3590042,4422.75,-0.0016068,0
E1AK2 P3450,0.3752002,4422.75,-0.0016737,0
E1AK2 P3460,0.3916221,4422.75,-0.0017411,0
E1AK2 P3470,0.4082026,4422.75,-0.0018086,0
E1AK2 P3480,0.4247332,4422.75,-0.0018754,0
E1AK2 P3490,0.4412741,4422.75,-0.0019418,0
E1AK2 P3500,0.4579032,4422.75,-0.0020082,0
E1AK2 P3510,0.4746603,4422.75,-0.0020746,0
E1AK2 P3520,0.4913229,4422.75,-0.0021404,0
E1AK2 P3530,0.5081971,4422.75,-0.0022066,0
E1AK2 P3540,0.5249371,4422.75,-0.002272,0
E1AK2 P3550,0.5417087,4422.75,-0.0023373,0
E1AK2 P3560,0.5585625,4422.75,-0.0024028,0
E1AK2 P3570,0.5756768,4422.75,-0.0024692,0
E1AK2 P3580,0.5926408,4422.75,-0.0025349,0
E1AK2 P3590,0.6099694,4422.75,-0.0026021,0
E1AK2 P3600,0.6271525,4422.75,-0.0026688,0
E1AK2 P3610,0.6456195,4422.75,-0.0027405,0
E1AK2 P3620,0.6643878,4422.75,-0.0028137,0
E1AK2 P3630,0.6839587,4422.75,-0.0028902,0
E1AK2 P3640,0.7046056,4422.75,-0.0029713,0
E1AK2 P3650,0.7266334,4422.75,-0.0030582,0
E1AK2 P3660,0.7503505,4422.75,-0.0031522,0
E1AK2 P3670,0.7754956,4422.75,-0.0032524,0
E1AK2 P3680,0.8025153,4422.75,-0.0033606,0
E1AK2 P3690,0.831118,4422.75,-0.003476,0
E1AK2 P3700,0.8612725,4422.75,-0.0035995,0
E1AK2 P3710,0.8927469,4422.75,-0.0037364,0
E1AK2 P3720,0.9252212,4422.75,-0.0038874,0.0000004
E1AK2 P3730,0.9584387,4422.75,-0.0040524,0.0000028
E1AK2 P3735,0.9753815,4422.75,-0.0041406,0.0000041
E1AK2 P3740,0.9926402,4422.75,-0.0042331,0.0000054
