instrument,average_theo
E1CK2 P4325,39.8071
E1CK2 P4330,41.0488
E1CK2 P4335,42.3246
E1CK2 P4340,43.6351
E1CK2 P4345,44.9812
E1CK2 P4350,46.3645
E1CK2 P4355,47.7872
E1CK2 P4360,49.2521
E1CK2 P4365,50.7526
E1CK2 P4370,52.2876
E1CK2 P4375,53.8591
E1CK2 P4380,55.4669
E1CK2 P4385,57.1119
E1CK2 P4390,58.7965
E1CK2 P4395,60.5203
E1CK2 P4400,62.2842
E1CK2 P4405,64.0895
E1CK2 P4410,65.9372
E1CK2 P4415,67.8293
E1CK2 P4420,69.7667
E1CK2 P4425,71.7621
E1CK2 P4430,73.8234
E1CK2 P4435,75.9375
E1CK2 P4440,78.1072
E1CK2 P4445,80.3335
E1CK2 P4450,82.6176
E1CK2 P4455,84.9611
E1CK2 P4460,87.3659
E1CK2 P4465,89.8338
E1CK2 P4470,92.3653
E1CK2 P4475,94.9605
E1CK2 P4480,97.6266
E1CK2 P4485,100.3576
E1CK2 P4490,103.1584
E1CK2 P4495,106.0340
E1CK2 P4500,108.9802
E1CK2 P4505,111.9983
E1CK2 P4510,115.0886
E1CK2 P4515,118.2521
E1CK2 P4520,121.4889
E1CK2 P4525,124.7982
E1CK2 P4530,128.1802
E1CK2 P4535,131.6349
E1CK2 P4540,135.1624
E1CK2 P4545,138.7608
E1CK2 P4550,142.4297
E1CK2 P4555,146.1657
E1CK2 P4560,149.9636
